,kappa,theta,sigma,rho,v0,error
2024-11-04,10.0,0.05517411042906243,1.9637363933388825,-0.8536468419640556,0.04869122958236075,0.0029785365434041077
2024-11-05,10.0,0.010000000000000005,4.0327125266943415,-0.9068841017765161,0.20974693463226324,0.006636365589374751
2024-11-06,10.0,0.01,2.6633213295352633,-0.8331675146787662,0.0875733878133149,0.0083770658333686
2024-11-07,10.0,0.010000000000000162,2.564639096628854,-0.851098060219014,0.08758502220747406,0.014428817240535874
2024-11-08,10.0,0.030091896597115562,3.698174219477685,-0.8473962782604,0.08260870250784702,0.007244408096755986
2024-11-11,2.4775282322827157,0.23480027181807464,2.094643089352188,-0.8118987133776231,0.005146732726347201,0.007873497597933703
2024-11-13,10.0,0.08902857181236284,3.784809753757909,-0.830594261905644,0.011446468898824407,0.005829333961884283
2024-11-14,4.281784197482894,0.04356846042164938,0.8150254291673285,-0.6433970622400612,0.004376743203549141,0.0006589701709314331
2024-11-15,2.7770248959845443,0.3646666399782167,3.7282595376232344,-0.7176150727449917,0.0022083986216844542,0.0012040590233098614
2024-11-18,10.0,0.09008192374554785,3.9855471224390846,-0.883157017573183,0.05097256155357963,0.0069382536026094165
2024-11-19,10.0,0.01,3.5377868417396225,-0.8963011401133608,0.1505874866317752,0.015311562982034678
2024-11-20,9.999999999999996,0.012800152329480789,1.783561237217048,-0.8121421873214548,0.05663516921944912,0.008597755900330597
2024-11-21,10.0,0.1360236013543613,3.788065991032094,-0.8962065827415405,0.03185715759738521,0.01372851298466672
2024-11-22,9.284705660500787,0.1544955013844026,5.0,-0.8835133406974175,0.0010000000000000035,0.007178639042933106
2024-11-25,9.999999999999984,0.03516415968572757,2.2691888930427178,-0.780961655211893,0.023449044950116404,0.006306948221817886
2024-11-26,9.999999999999998,0.010000000000000045,2.6016771284866294,-0.857462193396357,0.06718167207869383,0.009704436368441361
2024-11-27,10.0,0.022867375084399868,1.3758814308321887,-0.7563196565612028,0.011604261994691457,0.004595624617375898
2024-11-29,0.10000000000000002,0.010000000000000004,5.0,-0.9427399534530705,0.10546747058734485,0.007665839676917794
2024-12-02,8.42218565595982,0.07744565784320835,2.594910032885851,-0.8502356758990472,0.001,0.012734436093010268
2024-12-03,2.565748414376084,0.18225524952344918,5.0,-0.8393925454925817,0.03516064037199531,0.0016072364519226963
2024-12-04,10.0,0.010000000000000002,2.1582536682179843,-0.848716920811788,0.04772591671552697,0.017997599355045045
2024-12-05,3.648787264257111,0.13611910883232506,5.0,-0.8893025860939247,0.04215842234217869,0.001968791842030565
2024-12-06,10.0,0.018991784026426567,1.7675885857032048,-0.8126523259318302,0.02537016091772423,0.014769057119724382
2024-12-09,2.6423265174611656,0.4777366044883267,4.699384082719913,-0.8192331102207479,0.0014052004640280461,0.001965764413712797
2024-12-10,3.6155824594220762,0.06162332693489084,1.1514287890258263,-0.7257962674187953,0.0038690451376144365,0.0017695464275574993
2024-12-11,10.0,0.018156417866118928,2.031455427935482,-0.8285136999832363,0.03894454665476083,0.008467651942058528
2024-12-12,3.416643542921979,0.07241684500439605,1.082135175283535,-0.7293523549622233,0.001,0.005442994567999683
2024-12-13,3.0632626878419376,0.10132242517809151,2.279958687155762,-0.6680769234860012,0.0025902752179522083,0.0006153330254269191
2024-12-16,10.0,0.031243833197205282,2.0933681164020537,-0.8292276248808766,0.029056389962773765,0.009594649661101498
2024-12-17,10.0,0.035258692848792475,2.5065998190540606,-0.8038706286068059,0.03095274231234305,0.004154647677018492
2024-12-18,1.9829333898896933,0.010000000000000002,0.5324422723221776,-0.4665521655280156,0.0010000000000000009,0.2586492980473059
2024-12-19,3.517097469113842,0.1262246298523435,1.1818323009202256,-0.7867678915068774,0.001,0.00018940318844331923
2024-12-20,7.566843460719731,0.01,5.0,-0.9381077397832192,0.22496147346879625,0.004298819773672325
2024-12-23,10.0,0.1289259860535328,4.816735263351446,-0.9176595118036796,0.05092745104423624,0.005713964358316409
2024-12-24,2.9975330196662595,0.34754866793747013,3.7072319997453103,-0.9245043880765924,0.0016904686331051123,4.928486960434324e-11
2024-12-26,10.0,0.06173118478124191,2.586044247861769,-0.8340835139483403,0.0059268829339941195,0.002865548995699598
2024-12-27,4.148770666411369,0.07034995893692433,1.0327952721203282,-0.7748810376504005,0.0010753664991640457,0.0003417921622887123
2024-12-30,3.956955012262517,0.15100841686355748,1.7727027881734905,-0.8392859311280438,0.0039467734126586,0.0023006828285690884
2024-12-31,3.8863398298249643,0.02790048775366489,0.5291568990000654,-0.729027290404923,0.010504213080955355,2.1268054207320568e-05
2025-01-02,3.6028299974677926,0.05760024690377681,0.5386734894308559,-0.6640761581346113,0.0031616459291010533,0.0008701247998712108
2025-01-03,10.0,0.05026014598424463,3.198537095458911,-0.8880580504917547,0.06934609731769353,0.0048802410546456045
2025-01-06,3.699421783285686,0.1525761564268027,1.7863150351344517,-0.8156338492077776,0.001,0.0020298644130534497
